skill_hero;skill_num;skill_name;skill_description;skill_troop_type;skill_permanent;skill_first_round;skill_last_round;skill_frequency;skill_frequency_type;skill_is_chance;skill_probability;skill_round_stackable;skill_type_relation;skill_order;effect_num;affects_opponent;effect_type;effect_op;trig_by_unit;trig_vs_unit;benefit_for_unit;benefit_vs_unit;extra_attack;effect_duration;effect_duration_type;effect_lag;effect_is_chance;proba_1;proba_2;proba_3;proba_4;proba_5;effect_1;effect_2;effect_3;effect_4;effect_5;special;;;
Jeronimo;2;Swordmentor;Increasing Attack by X% for all troops;infantry;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;102;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Jeronimo;3;E Xpert swordsmanship;Grants all troops' attack a X% chance of stunning the target for 1 turn;infantry;FALSE;0;0;1;turn;FALSE;0;TRUE;FALSE;1;1;TRUE;Stun;0;infantry;all;all;target;FALSE;1;turn;1;TRUE;4;8;12;16;20;0;0;0;0;0;-;;;
Flint;1;Pyromaniac ;Grants all troops' attack 20% chance of setting the target on fire, dealing X% damage per turn for 3 turns;infantry;FALSE;0;0;1;turn;FALSE;0;TRUE;TRUE;1;1;FALSE;DamageUp;101;infantry;all;trigger;target;FALSE;3;turn;1;TRUE;20;20;20;20;20;8;16;24;32;40;"{""effect_evolution"":{""category"":""fixed_damage"",""data"":{}}}";;;
Flint;2;Burning resolve;Increasing Attack by X% for all troops;infantry;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;102;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Flint;3;Immolation;Granting all troops' attack a 50% chance of increasing enemy troops' damage taken by X%;infantry;FALSE;0;0;1;turn;FALSE;0;FALSE;FALSE;1;1;TRUE;OppDefenseDown;211;all;all;trigger;target;FALSE;1;turn;0;TRUE;50;50;50;50;50;10;20;30;40;50;-;;;
Philly;1;Vigor tactics;Increasing Attack by X% and Defense by X% for all troops;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;102;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;3;6;9;12;15;-;;;
Philly;1;Vigor tactics;Increasing Attack by X% and Defense by X% for all troops;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;2;FALSE;DefenseUp;112;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;2;4;6;8;10;-;;;
Philly;2;Dosage boost;Granting all troops' attack a 25% chance of dealing X% damage;lancer;FALSE;0;0;1;turn;FALSE;0;TRUE;FALSE;1;1;FALSE;DamageUp;101;all;all;trigger;target;TRUE;1;attack;0;TRUE;25;25;25;25;25;120;140;160;180;200;"{""effect_evolution"":{""category"":""effect_is_total_damage"",""data"":{}}}";;;
Philly;3;Numbing spores;Granting all troops' attack a X% chance of stunning the target for 1 turn;lancer;FALSE;0;0;1;turn;FALSE;0;TRUE;FALSE;1;1;TRUE;Stun;0;lancer;all;all;target;FALSE;1;turn;1;TRUE;4;8;12;16;20;0;0;0;0;0;-;;;
Alonso;1;Onslaught;Grants all troops' attack an X% chance of stunning the target for 1 turn;marksmen;FALSE;0;0;1;turn;FALSE;0;TRUE;FALSE;1;1;TRUE;Stun;0;marksmen;all;all;target;FALSE;1;turn;1;TRUE;4;8;12;16;20;0;0;0;0;0;-;;;
Alonso;2;Iron strength;Grants all troops' attack a 20% chance of reducing damage dealt by X% for all enemy troops for 2 turns;marksmen;FALSE;0;0;1;turn;FALSE;0;TRUE;FALSE;1;1;TRUE;OppDamageDown;201;marksmen;all;trigger;all;FALSE;2;turn;1;TRUE;20;20;20;20;20;10;20;30;40;50;-;;;
Alonso;3;Poison harpoon;Grants all troops attack a 50% chance of dealing X% more damage;marksmen;FALSE;0;0;1;turn;FALSE;0;TRUE;FALSE;1;1;FALSE;DamageUp;101;all;all;trigger;target;TRUE;1;attack;0;TRUE;50;50;50;50;50;10;20;30;40;50;-;;;
Logan;1;Lion strike;Granting all troops' attack a 20% chance of dealing X% extra damage per turn for 3 turns;infantry;FALSE;0;0;1;turn;FALSE;0;TRUE;FALSE;1;1;FALSE;DamageUp;101;infantry;all;trigger;target;TRUE;3;turn;1;TRUE;20;20;20;20;20;8;16;24;32;40;-;;;
Logan;2;Lion intimidation;Reducing damage taken by X% for all troops;infantry;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DefenseUp;111;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;4;8;12;16;20;-;;;
Logan;3;Leader inspiration;Increasing Health by X% for all troops;infantry;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DefenseUp;113;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Mia;1;Bad luck streak;Grants all troops attack a 50% chance of cursing the target, increasing their damage taken by X%;lancer;FALSE;0;0;1;turn;FALSE;0;FALSE;FALSE;1;1;TRUE;OppDefenseDown;212;once;all;all;target;FALSE;1;turn;0;TRUE;50;50;50;50;50;10;20;30;40;50;-;;;
Mia;2;Lucky charm;Grants a 50% chance of boosting troops' Attack by X%;lancer;FALSE;0;0;1;turn;TRUE;50;FALSE;FALSE;1;1;FALSE;DamageUp;102;once;all;all;all;TRUE;1;turn;0;FALSE;0;0;0;0;0;10;20;30;40;50;-;;;
Mia;3;Ritual deciphering;Grants a 40% chance of reducing damage taken by X% for all troops;lancer;FALSE;0;0;1;turn;TRUE;40;TRUE;FALSE;1;1;FALSE;DefenseUp;111;once;all;all;all;FALSE;1;turn;0;FALSE;0;0;0;0;0;10;20;30;40;50;-;;;
Greg;1;Sword of justice;Granting a 20% chance of increasing damage dealt by X% for all troops for 3 turns;marksmen;FALSE;0;0;1;turn;TRUE;20;TRUE;FALSE;1;1;FALSE;DamageUp;101;once;all;all;all;FALSE;3;turns;1;FALSE;0;0;0;0;0;8;16;24;32;80;-;;;
Greg;2;Deterrence of law;Granting all troops' attack a 20% chance of reducing enemy damage dealt by X% for 2 turns;marksmen;FALSE;0;0;1;turn;FALSE;0;TRUE;FALSE;1;1;TRUE;OppDamageDown;201;all;all;all;target;FALSE;2;turns;1;TRUE;20;20;20;20;20;10;20;30;40;50;-;;;
Greg;3;Law and order;Increasing Health by X% for all troops;marksmen;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;2;FALSE;DefenseUp;113;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;;;;
Ahmose;1;Viper formation;His infantry pauses the attack once every 4 times reducing damage taken by Lancers and Marksmen by X% and Infantry by X% for 2 turns;infantry;FALSE;0;0;4;attack;FALSE;0;TRUE;FALSE;1;1;FALSE;DefenseUp;111;infantry;all;friendly;all;FALSE;2;turn;1;FALSE;0;0;0;0;0;10;15;20;25;30;-;;;
Ahmose;1;Viper formation;His infantry pauses the attack once every four times reducing damage taken by Lancers and Marksmen by X% and Infantry by X% for 2 turns;infantry;FALSE;0;0;4;attack;FALSE;0;TRUE;FALSE;1;2;FALSE;DefenseUp;111;infantry;all;infantry;all;FALSE;2;turn;1;FALSE;0;0;0;0;0;10;25;40;55;70;-;;;
Ahmose;2;Prayer of flame;Ahmose amplifies the combat spirit of friendly infantry with the power of Fire Crystal, increasing their damage dealt by X%;infantry;TRUE;0;0;0;NONE;FALSE;0;FALSE;TRUE;1;1;FALSE;DamageUp;101;infantry;all;infantry;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;20;40;60;80;100;-;;;
Ahmose;3;Blade of light;Increasing his infantries' damage dealt per attack by X% and the target's damage taken by X% for 1 turn;infantry;TRUE;0;0;0;NONE;FALSE;0;TRUE;TRUE;1;1;FALSE;DamageUp;101;infantry;all;infantry;all;FALSE;1;attack;0;FALSE;0;0;0;0;0;12;24;36;48;60;-;;;
Ahmose;3;Blade of light;Increasing his infantries' damage dealt per attack by X% and the target's damage taken by X% for 1 turn;infantry;TRUE;0;0;0;NONE;FALSE;0;TRUE;TRUE;1;2;TRUE;OppDefenseDown;213;infantry;all;all;target;FALSE;1;turn;1;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Reina;1;Assassin's instinct;Increasing normal attack damage by X% for all troops;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;101;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;10;15;20;25;30;"{""only_normal"": true}";;;
Reina;2;Swift jive;Grants all troops a X% chance of dodging normal attacks;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;Dodge;0;all;all;trigger;all;FALSE;1;attack;0;TRUE;4;8;12;16;20;0;0;0;0;0;"{""only_normal"": true}";;;
Reina;3;Shadow blade;With Reina's clever tactics, her Lancers have a 25% chance of performing an extra attack, dealing X% damage;lancer;FALSE;0;0;1;turn;FALSE;0;FALSE;TRUE;1;1;FALSE;DamageUp;101;lancer;all;lancer;all;TRUE;1;turn;0;TRUE;25;25;25;25;25;120;140;160;180;200;"{""effect_evolution"":{""category"":""effect_is_total_damage"",""data"":{}}}";;;
Lynn;1;Song of lion;Granting a 40% chance of increasing damage dealt by X% for all troops;marksmen;FALSE;0;0;1;turn;TRUE;40;TRUE;FALSE;1;1;FALSE;DamageUp;101;once;all;all;all;FALSE;1;turn;0;FALSE;0;0;0;0;0;10;20;30;40;50;-;;;
Lynn;2;Melancholic ballad;Reducing damage dealt by X% for all enemy troops;marksmen;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;TRUE;OppDamageDown;201;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;4;8;12;16;20;-;;;
Lynn;3;Oonai Cadenza;Increases her marksmen attack by X% for every 3 attacks. stackable, and last until the end of battle;marksmen;FALSE;0;0;3;attack;FALSE;0;TRUE;TRUE;1;1;FALSE;DamageUp;102;marksmen;all;marksmen;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;1;2;3;4;5;-;;;
Hector;1;Survival instincts;Hector's presence grants a 40% chance of reducing damage taken by X% for all troops;infantry;FALSE;0;0;1;turn;TRUE;40;FALSE;FALSE;1;1;FALSE;DefenseUp;111;once;all;all;all;FALSE;1;turn;0;FALSE;0;0;0;0;0;10;20;30;40;50;-;;;
Hector;2;Rampant;Increases infantry's damage dealt by X% and marksmen's damage dealt by X%. The effect decreases by 80% with each attack and is removed after the fifth.;infantry;FALSE;0;5;1;turn;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;101;once;all;infantry;all;FALSE;5;attack;0;FALSE;0;0;0;0;0;100;125;150;175;200;"{""effect_evolution"":{""category"":""effect_decrease"",""data"":{""type"":""pct_value_pct_decrease"",""step"":""attack"",""decrease_value"":20}}}";;;
Hector;2;Rampant;Increases infantry's damage dealt by X% and marksmen's damage dealt by X%. The effect decreases by 80% with each attack and is removed after the fifth.;infantry;FALSE;0;0;1;turn;FALSE;0;FALSE;FALSE;1;2;FALSE;DamageUp;101;once;all;marksmen;all;FALSE;5;attack;0;FALSE;0;0;0;0;0;10;20;30;40;50;"{""effect_evolution"":{""category"":""effect_decrease"",""data"":{""type"":""pct_value_pct_decrease"",""step"":""attack"",""decrease_value"":20}}}";;;
Hector;3;Blitz;Grants all troops' attack a 25% chance of dealing X% damage;infantry;FALSE;0;0;1;turn;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;101;all;all;trigger;target;TRUE;1;attack;0;TRUE;25;25;25;25;25;120;140;160;180;200;"{""effect_evolution"":{""category"":""effect_is_total_damage"",""data"":{}}}";;;
Norah;1;Combined arms;Decreasing damage taken by X% and boosting damage dealt by X% for infantry and marksmen;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;OppDamageDown;201;once;all;friendly;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;3;6;9;12;15;-;;;
Norah;1;Combined arms;Decreasing damage taken by X% and boosting damage dealt by X% for infantry and marksmen;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;2;FALSE;DamageUp;101;once;all;friendly;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;3;6;9;12;15;-;;;
Norah;2;Sneak strike;Granting her lancers a 20% chance of dealing X% extra damage to all enemies on attack;lancer;FALSE;0;0;1;turn;FALSE;0;TRUE;TRUE;1;1;FALSE;DamageUp;101;lancer;all;lancer;all;TRUE;1;turn;0;TRUE;20;20;20;20;20;20;40;60;80;100;-;;;
Norah;3;Momentum;Increasing all troops damage dealt by X% and reducing their damage taken by X%, every five attacks made by lancers for 2 turns;lancer;FALSE;0;0;5;attack;FALSE;0;TRUE;FALSE;1;1;FALSE;DamageUp;101;lancer;all;all;all;FALSE;2;turns;1;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Norah;3;Momentum;Increasing all troops damage dealt by X% and reducing their damage taken by X%, every 5 attacks made by lancers for 2 turns;lancer;FALSE;0;0;5;attack;FALSE;0;TRUE;FALSE;1;2;FALSE;DefenseUp;111;lancer;all;all;all;FALSE;2;turns;1;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Gwen;1;Eagle vision;Increasing target's damage taken by X%;marksmen;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;TRUE;OppDefenseDown;214;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Gwen;2;Air dominance;Grants all troops' attack X% extra damage after every 5 attacks and causes the target to receive X% extra damage for its next attack received;marksmen;FALSE;0;0;5;attack;FALSE;0;TRUE;FALSE;1;1;FALSE;DamageUp;101;all;all;trigger;target;TRUE;1;attack;0;FALSE;0;0;0;0;0;20;40;60;80;100;-;;;
Gwen;2;Air dominance;Grants all troops' attack X% extra damage after every 5 attacks and causes the target to receive X% extra damage for its next attack received;marksmen;FALSE;0;0;5;attack;FALSE;0;TRUE;FALSE;1;2;TRUE;OppDefenseDown;215;all;all;all;target;TRUE;1;attack;1;FALSE;0;0;0;0;0;5;7,5;10;12,5;15;-;;;
Gwen;3;Blastmaster;Gwen equips her Marksmen with grenades, dealing X% extra damage to all enemies on the next attack of every 4 attacks;marksmen;FALSE;0;0;4;attack;FALSE;0;TRUE;FALSE;1;1;FALSE;DamageUp;101;marksmen;all;marksmen;all;TRUE;1;attack;1;FALSE;0;0;0;0;0;10;20;30;40;50;-;;;
